MV,RM,TAX,PT,LSTAT
23.1,5.572,296,16.6,14.69
23.6,6.416,296,16.6,9.04
22.6,5.859,296,16.6,9.64
29.4,6.546,296,16.6,5.33
23.2,6.02,296,16.6,10.11
24.6,6.315,296,16.6,6.29
29.9,6.86,296,16.6,6.92
37.2,6.98,193,17.8,5.04
39.8,7.765,193,17.8,7.56
36.2,6.144,193,17.8,9.45
37.9,7.155,193,17.8,4.82
32.5,6.563,193,17.8,5.68
26.4,5.604,193,17.8,13.98
29.6,6.153,193,17.8,13.15
50,7.831,193,17.8,4.45
32,6.782,398,15.2,6.68
29.8,6.556,398,15.2,4.56
34.9,7.185,398,15.2,5.39
37,6.951,398,15.2,5.1
30.5,6.739,398,15.2,4.69
36.4,7.178,398,15.2,2.87
31.1,6.8,265,15.6,5.03
29.1,6.604,265,15.6,4.38
50,7.875,255,14.4,2.97
33.3,7.287,329,12.6,4.08
30.3,7.107,329,12.6,8.61
34.6,7.274,329,12.6,6.62
34.9,6.975,402,17,4.56
32.9,7.135,402,17,4.45
24.1,6.162,348,14.7,7.43
42.3,7.61,348,14.7,3.11
48.5,7.853,224,14.7,3.81
50,8.034,224,14.7,2.88
22.6,5.891,277,18.6,10.87
24.4,6.326,277,18.6,10.97
22.5,5.783,277,18.6,18.06
24.4,6.064,277,18.6,14.66
20,5.344,277,18.6,23.09
21.7,5.96,277,18.6,17.27
19.3,5.404,277,18.6,23.98
22.4,5.807,277,18.6,16.03
28.1,6.375,277,18.6,9.38
23.7,5.412,277,18.6,29.55
25,6.182,277,18.6,9.47
23.3,5.888,276,16.4,13.51
28.7,6.642,276,16.4,9.69
21.5,5.951,276,16.4,17.92
23,6.373,276,16.4,10.5
26.7,6.951,307,17.4,9.71
21.7,6.164,307,17.4,21.46
27.5,6.879,307,17.4,9.93
30.1,6.618,307,17.4,7.6
44.8,8.266,307,17.4,4.14
50,8.725,307,17.4,4.63
37.6,8.04,307,17.4,3.13
31.6,7.163,307,17.4,6.36
46.7,7.686,307,17.4,3.92
31.5,6.552,307,17.4,3.76
24.3,5.981,307,17.4,11.65
31.7,7.412,307,17.4,5.25
41.7,8.337,307,17.4,2.47
48.3,8.247,307,17.4,3.95
29,6.726,307,17.4,8.05
24,6.086,307,17.4,10.88
25.1,6.631,307,17.4,9.54
31.5,7.358,307,17.4,4.73
23.7,6.481,300,16.6,6.36
23.3,6.606,300,16.6,7.37
22,6.897,300,16.6,11.38
20.1,6.095,300,16.6,12.4
22.2,6.358,300,16.6,11.22
23.7,6.393,300,16.6,5.19
17.6,5.593,330,19.1,12.5
18.5,5.605,330,19.1,18.46
24.3,6.108,330,19.1,9.16
20.5,6.226,330,19.1,10.15
24.5,6.433,330,19.1,9.52
26.2,6.718,330,19.1,6.56
24.4,6.487,330,19.1,5.9
24.8,6.438,330,19.1,3.59
29.6,6.957,330,19.1,3.53
42.8,8.259,330,19.1,3.54
21.9,6.108,315,16.4,6.57
20.9,5.876,315,16.4,9.25
44,7.454,244,15.9,3.11
50,8.704,264,13,5.12
36,7.333,264,13,7.79
30.1,6.842,264,13,6.9
33.8,7.203,264,13,9.59
43.1,7.52,264,13,7.26
48.8,8.398,264,13,5.91
31,7.327,264,13,11.25
36.5,7.206,264,13,8.1
22.8,5.56,264,13,10.45
30.7,7.014,264,13,14.79
50,8.297,264,13,7.44
43.5,7.47,264,13,3.16
20.7,5.92,223,18.6,13.65
21.1,5.856,223,18.6,13
25.2,6.24,223,18.6,6.59
24.4,6.538,223,18.6,7.73
35.2,7.691,223,18.6,6.58
32.4,6.758,254,17.6,3.53
32,6.854,254,17.6,2.98
33.2,7.267,254,17.6,6.05
33.1,6.826,254,17.6,4.16
29.1,6.482,254,17.6,7.19
35.1,6.812,216,14.9,4.85
45.4,7.82,216,14.9,3.76
35.4,6.968,216,14.9,4.59
46,7.645,216,14.9,3.01
50,7.923,198,13.6,3.16
32.2,7.088,285,15.3,7.85
22,6.453,300,15.3,8.23
20.1,6.23,241,18.2,12.93
23.2,6.209,293,16.6,7.14
22.3,6.315,293,16.6,7.6
24.8,6.565,293,16.6,9.51
28.5,6.861,245,19.2,3.33
37.3,7.148,245,19.2,3.56
27.9,6.63,245,19.2,4.7
23.9,6.127,289,16,8.58
21.7,6.009,289,16,10.4
28.6,6.678,289,16,6.27
27.1,6.549,289,16,7.39
20.3,5.79,289,16,15.84
22.5,6.345,358,14.8,4.97
29,7.041,358,14.8,4.74
24.8,6.871,358,14.8,6.07
22,6.59,329,16.1,9.5
26.4,6.495,329,16.1,8.67
33.1,6.982,329,16.1,4.86
36.1,7.236,222,18.4,6.93
28.4,6.616,222,18.4,8.93
33.4,7.42,222,18.4,6.47
28.2,6.849,222,18.4,7.53
22.8,6.635,304,18.4,4.54
20.3,5.972,304,18.4,9.97
16.1,4.973,304,18.4,12.64
22.1,6.122,304,18.4,5.98
19.4,6.023,304,18.4,11.72
21.6,6.266,304,18.4,7.9
23.8,6.567,304,18.4,9.28
16.2,5.705,304,18.4,11.5
17.8,5.914,304,18.4,18.33
19.8,5.782,304,18.4,15.94
23.1,6.382,304,18.4,10.36
21,6.113,304,18.4,12.73
23.8,6.426,287,19.6,7.2
23.1,6.376,287,19.6,6.87
20.4,6.041,287,19.6,7.7
18.5,5.708,287,19.6,11.74
25,6.415,287,19.6,6.12
24.6,6.431,287,19.6,5.08
23,6.312,287,19.6,6.15
22.2,6.083,287,19.6,12.79
19.3,5.868,430,16.9,9.97
22.6,6.333,430,16.9,7.34
19.8,6.144,430,16.9,9.09
17.1,5.706,304,16.9,12.43
19.4,6.031,304,16.9,7.83
22.2,6.316,224,20.2,5.68
20.7,6.31,224,20.2,6.75
21.1,6.037,224,20.2,8.01
19.5,5.869,224,20.2,9.8
18.5,5.895,224,20.2,10.56
20.6,6.059,224,20.2,8.51
19,5.985,224,20.2,9.74
18.7,5.968,224,20.2,9.29
32.7,7.241,284,15.5,5.49
16.5,6.54,422,15.9,8.65
23.9,6.696,370,17.6,7.18
31.2,6.874,370,17.6,4.61
17.5,6.014,352,18.8,10.53
17.2,5.898,352,18.8,12.67
23.1,6.516,351,17.9,6.36
24.5,6.635,280,17,5.99
26.6,6.939,335,19.7,5.89
22.9,6.49,335,19.7,5.98
24.1,6.579,411,18.3,5.49
18.6,5.884,411,18.3,7.79
30.1,6.728,187,17,4.5
18.2,5.663,334,22,8.05
20.6,5.936,334,22,5.57
17.8,6.212,666,20.2,17.6
21.7,6.395,666,20.2,13.27
22.7,6.127,666,20.2,11.48
22.6,6.112,666,20.2,12.67
25,6.398,666,20.2,7.79
19.9,6.251,666,20.2,14.19
20.8,5.362,666,20.2,10.19
16.8,5.803,666,20.2,14.64
21.9,8.78,666,20.2,5.29
27.5,3.561,666,20.2,7.12
21.9,4.963,666,20.2,14
23.1,3.863,666,20.2,13.33
50,4.97,666,20.2,3.26
50,6.683,666,20.2,3.73
50,7.016,666,20.2,2.96
50,6.216,666,20.2,9.53
50,5.875,666,20.2,8.88
13.8,4.906,666,20.2,34.77
13.8,4.138,666,20.2,37.97
15,7.313,666,20.2,13.44
13.9,6.649,666,20.2,23.24
13.3,6.794,666,20.2,21.24
13.1,6.38,666,20.2,23.69
10.2,6.223,666,20.2,21.78
10.4,6.968,666,20.2,17.21
10.9,6.545,666,20.2,21.08
11.3,5.536,666,20.2,23.6
12.3,5.52,666,20.2,24.56
8.8,4.368,666,20.2,30.63
7.2,5.277,666,20.2,30.81
10.5,4.652,666,20.2,28.28
7.4,5,666,20.2,31.99
10.2,4.88,666,20.2,30.62
11.5,5.39,666,20.2,20.85
15.1,5.713,666,20.2,17.11
23.2,6.051,666,20.2,18.76
9.7,5.036,666,20.2,25.68
13.8,6.193,666,20.2,15.17
12.7,5.887,666,20.2,16.35
13.1,6.471,666,20.2,17.12
12.5,6.405,666,20.2,19.37
8.5,5.747,666,20.2,19.92
5,5.453,666,20.2,30.59
6.3,5.852,666,20.2,29.97
5.6,5.987,666,20.2,26.77
7.2,6.343,666,20.2,20.32
12.1,6.404,666,20.2,20.31
8.3,5.349,666,20.2,19.77
8.5,5.531,666,20.2,27.38
5,5.683,666,20.2,22.98
11.9,4.138,666,20.2,23.34
27.9,5.608,666,20.2,12.13
17.2,5.617,666,20.2,26.4
27.5,6.852,666,20.2,19.78
15,5.757,666,20.2,10.11
17.2,6.657,666,20.2,21.22
17.9,4.628,666,20.2,34.37
16.3,5.155,666,20.2,20.08
7,4.519,666,20.2,36.98
7.2,6.434,666,20.2,29.05
7.5,6.782,666,20.2,25.79
10.4,5.304,666,20.2,26.64
8.8,5.957,666,20.2,20.62
8.4,6.824,666,20.2,22.74
16.7,6.411,666,20.2,15.02
14.2,6.006,666,20.2,15.7
20.8,5.648,666,20.2,14.1
13.4,6.103,666,20.2,23.29
11.7,5.565,666,20.2,17.16
8.3,5.896,666,20.2,24.39
10.2,5.837,666,20.2,15.69
10.9,6.202,666,20.2,14.52
11,6.193,666,20.2,21.52
9.5,6.38,666,20.2,24.08
14.5,6.348,666,20.2,17.64
14.1,6.833,666,20.2,19.69
16.1,6.425,666,20.2,12.03
14.3,6.436,666,20.2,16.22
11.7,6.208,666,20.2,15.17
13.4,6.629,666,20.2,23.27
9.6,6.461,666,20.2,18.05
8.7,6.152,666,20.2,26.45
8.4,5.935,666,20.2,34.02
12.8,5.627,666,20.2,22.88
10.5,5.818,666,20.2,22.11
17.1,6.406,666,20.2,19.52
18.4,6.219,666,20.2,16.59
15.4,6.485,666,20.2,18.85
10.8,5.854,666,20.2,23.79
11.8,6.459,666,20.2,23.98
14.9,6.341,666,20.2,17.79
12.6,6.251,666,20.2,16.44
14.1,6.185,666,20.2,18.13
13,6.417,666,20.2,19.31
13.4,6.749,666,20.2,17.44
15.2,6.655,666,20.2,17.73
16.1,6.297,666,20.2,17.27
17.8,7.393,666,20.2,16.74
14.9,6.728,666,20.2,18.71
14.1,6.525,666,20.2,18.13
12.7,5.976,666,20.2,19.01
13.5,5.936,666,20.2,16.94
14.9,6.301,666,20.2,16.23
20,6.081,666,20.2,14.7
16.4,6.701,666,20.2,16.42
17.7,6.376,666,20.2,14.65
19.5,6.317,666,20.2,13.99
20.2,6.513,666,20.2,10.29
21.4,6.209,666,20.2,13.22
19.9,5.759,666,20.2,14.13
19,5.952,666,20.2,17.15
19.1,6.003,666,20.2,21.32
19.1,5.926,666,20.2,18.13
20.1,5.713,666,20.2,14.76
19.9,6.167,666,20.2,16.29
19.6,6.229,666,20.2,12.87
23.2,6.437,666,20.2,14.36
29.8,6.98,666,20.2,11.66
13.8,5.427,666,20.2,18.14
13.3,6.162,666,20.2,24.1
16.7,6.484,666,20.2,18.68
12,5.304,666,20.2,24.91
14.6,6.185,666,20.2,18.03
21.4,6.229,666,20.2,13.11
23,6.242,666,20.2,10.74
23.7,6.75,666,20.2,7.74
25,7.061,666,20.2,7.01
21.8,5.762,666,20.2,10.42
20.6,5.871,666,20.2,13.34
21.2,6.312,666,20.2,10.58
19.1,6.114,666,20.2,14.98
20.6,5.905,666,20.2,11.45
15.2,5.454,711,20.1,18.06
7,5.414,711,20.1,23.97
8.1,5.093,711,20.1,29.68
13.6,5.983,711,20.1,18.07
20.1,5.983,711,20.1,13.35
21.8,5.707,391,19.2,12.01
24.5,5.926,391,19.2,13.59
23.1,5.67,391,19.2,17.6
19.7,5.39,391,19.2,21.14
18.3,5.794,391,19.2,14.1
21.2,6.019,391,19.2,12.92
17.5,5.569,391,19.2,15.1
16.8,6.027,391,19.2,14.33
22.4,6.593,273,21,9.67
20.6,6.12,273,21,9.08
23.9,6.976,273,21,5.64
22,6.794,273,21,6.48
11.9,6.03,273,21,7.88
